original_filename,page,sr_no,current_gp_name,old_gp_villages,new_or_reconstituted_gp_name,new_gp_villages
delimitation_2014.pdf,0,"क .
स .","वर्तमान ग्रा ० प ०
का नाम", सम्मिलित,"पुनर्गठित / पुनर्सीमांकित
/ नवसृजित ग्रा ० प ० का नाम","पुनर्गठित / पुनर्सीमांकित / नवसृजित ग्रा ० प ० में सम्मिलित
ग्रामों का नाम"
delimitation_2014.pdf,0,"क .
स .","वर्तमान ग्रा ० प ०
का नाम",ग्रामों का नाम,"पुनर्गठित / पुनर्सीमांकित
/ नवसृजित ग्रा ० प ० का नाम","पुनर्गठित / पुनर्सीमांकित / नवसृजित ग्रा ० प ० में सम्मिलित
ग्रामों का नाम"
delimitation_2014.pdf,0,1,2,3,4,5
delimitation_2014.pdf,0,1,बघेरा,बघेरा,बघेरा,"1. बघेरा
2 नयागांव"
delimitation_2014.pdf,0,1,बघेरा,काबरिया,बघेरा,"1. बघेरा
2 नयागांव"
delimitation_2014.pdf,0,1,बघेरा,नयागांव,बघेरा,"1. बघेरा
2 नयागांव"
delimitation_2014.pdf,0,2,कणोज,कणोज,कणोज,"1. कणोज
2. देवलियाखुर्द
3. काबरिया"
delimitation_2014.pdf,0,2,कणोज,देवलियाखुर्द,कणोज,"1. कणोज
2. देवलियाखुर्द
3. काबरिया"
delimitation_2014.pdf,0,"क .
स .","वर्तमान ग्रा ० प ०
का नाम",,"पुनर्गठित / पुनर्सीमांकित /
नवसृजित ग्रा ० प ० का नाम","पुनर्गठित / पुनर्सीमांकित
/ नवसृजित ग्रा ० प ० में सम्मिलित ग्रामों का नाम"
delimitation_2014.pdf,0,"क .
स .","वर्तमान ग्रा ० प ०
का नाम",सम्मिलित ग्रामों का नाम,"पुनर्गठित / पुनर्सीमांकित /
नवसृजित ग्रा ० प ० का नाम","पुनर्गठित / पुनर्सीमांकित
/ नवसृजित ग्रा ० प ० में सम्मिलित ग्रामों का नाम"
delimitation_2014.pdf,0,1,बुहारू,रामपुरा,बुहारू,"1. बुहारू
2. रामपुरा"
delimitation_2014.pdf,0,1,बुहारू,बुहारू,बुहारू,"1. बुहारू
2. रामपुरा"
delimitation_2014.pdf,0,1,बुहारू,कांकनियावास,बुहारू,"1. बुहारू
2. रामपुरा"
delimitation_2014.pdf,0,2,नलू,नलू,नलू,"1. नलू
2. मुण्डोती
3. नोहरिया
4. कांकनियावास"
delimitation_2014.pdf,0,2,नलू,मुण्डोती,नलू,"1. नलू
2. मुण्डोती
3. नोहरिया
4. कांकनियावास"
delimitation_2014.pdf,0,2,नलू,नोहरिया,नलू,"1. नलू
2. मुण्डोती
3. नोहरिया
4. कांकनियावास"
delimitation_2014.pdf,0,"क .
स .","वर्तमान ग्रा ० प ०
का नाम",,"पुनर्गठित / पुनर्सीमांकित /
नवसृजित ग्रा.प. नाम",पुनर्गठित / पुनर्सीमांकित / नवसृजित ग्रा ० प ० में सम्मिलित ग्रामों का नाम
delimitation_2014.pdf,0,"क .
स .","वर्तमान ग्रा ० प ०
का नाम",सम्मिलित ग्रामों का नाम,"पुनर्गठित / पुनर्सीमांकित /
नवसृजित ग्रा.प. नाम",पुनर्गठित / पुनर्सीमांकित / नवसृजित ग्रा ० प ० में सम्मिलित ग्रामों का नाम
delimitation_2014.pdf,0,1,भूडोल,भूडोल,भूडोल,"1. भूडोल
2. लाडपुरा"
delimitation_2014.pdf,0,1,भूडोल,लाडपुरा 3. गुवारडी,भूडोल,"1. भूडोल
2. लाडपुरा"
delimitation_2014.pdf,0,2,रसूलपुरा,रसूलपुरा,रसूलपुरा,"1. रसूलपुरा
2. मदारपुरा
3. गुवारडी"
delimitation_2014.pdf,0,2,रसूलपुरा,मदारपुरा,रसूलपुरा,"1. रसूलपुरा
2. मदारपुरा
3. गुवारडी"
delimitation_2014.pdf,1,"क .
स .","वर्तमान
ग्रा ० प ० का
नाम", सम्मिलित,"पुनर्गठित / पुनर्सीमांकित /
नवसृजित ग्रा ० प ० का नाम","पुनर्गठित / पुनर्सीमांकित
/ नवसृजित ग्रा ० प ० में सम्मिलित ग्रामों का नाम"
delimitation_2014.pdf,1,"क .
स .","वर्तमान
ग्रा ० प ० का
नाम",ग्रामों का नाम,"पुनर्गठित / पुनर्सीमांकित /
नवसृजित ग्रा ० प ० का नाम","पुनर्गठित / पुनर्सीमांकित
/ नवसृजित ग्रा ० प ० में सम्मिलित ग्रामों का नाम"
delimitation_2014.pdf,1,1,2,3,4,5
