,original_filename,page,col1,col2,col3,col4,col5,col6,col7,col8
30,delimitation_2014.pdf,3,9,जीवाणा,"1. जीवाणा
2. रतनपुरा घाटा
3. बाडिया मैदा
4. शिवपुरा घाटा",जीवाणा,"1. जीवाणा
2. रतनपुरा घाटा
3. बाडिया मैदा
4. शिवपुरा घाटा
5. रूपाहेली कंला",,,
31,delimitation_2014.pdf,3,10,देवास,"1. देवास
2. लाडपुरा
3. देदपुरा
4. रूपोहली कंला
5. रूपाहेली खुर्द
6. रीछमाल
7. रेल का बाडिया
8. अमरपुरा",देवास,"1. देवास
2. लाडपुरा 3. देदपुरा 4. रूपाहेली खुर्द
5. रीछमाल
6. रेल का बाडिया
7. अमरपुरा",,,
32,delimitation_2014.pdf,3,11,बाडी,"1. बाडी
2. केसरपुरा
3. खूंटिया
4. देवपुरा
5. बडा आसन
6. सूतीखेडा
7. इन्द्रगढ",बाडी,"1. बाडी
2. बडा आसन
3. सूतीखेडा
4. इन्द्रगढ",,,
33,delimitation_2014.pdf,3,12,"दौलतपुरा
( प्रथम )","1. दौलतपुरा ( प्रथम )
2. लोरडी",दौलतपुरा ( प्रथम ),"1. दौलतपुरा ( प्रथम )
2. लोरडी
3. बहादुरपुरा",,,
34,delimitation_2014.pdf,3,13,लोडियाना,"1. लोडियाना
2. बहादुरपुरा 3. जयसिंहपुरा
4. कल्याणपुरा
5. लक्ष्मीपुरा",लोडियाना,"1. लोडियाना
2. जयसिंहपुरा
3. कल्याणपुरा
4. लक्ष्मीपुरा
5. केसरपुरा
6. खूंटिया
7. देवपुरा",,,
35,delimitation_2014.pdf,3,14,खरवा,"1. खरवा
2. गुवाडिया
3. सूरजपुरा 4. देवपुरा
5. दानाजी की ढाणी
6. भवानीपुरा
7. रानीसागर
8. जसवंतपुरा लहरी
9. रामपुरा
10. माधोगढ",खरवा,"1. खरवा
2. जसवंतपुरा लहरी
3. भवानीपुरा
4. रानीसागर",,,
36,delimitation_2014.pdf,3,15,-,-,देवपुरा,"1. रामपुरा
2. सूरजपुरा 3. गुवाडिया
4. दानाजी की ढाणी
5. देवपुरा
6. माधोगढ",,,
37,delimitation_2014.pdf,3,16,लुलवा,"1. लूलवा
2. जुझारों का बाडिया
3. पीथामगना का बाडिया
4. नयागांव
5. गेना का बाडिया
6. अमरसिंह का बाडिया",लूलवा,"1. लूलवा
2. जुझारों का बाडिया
3. सूना चौडसिया ( गै 0 आ 0 )",,,
38,delimitation_2014.pdf,3,17,-,,नयागांव,"1. नयागांव
2. गेना का बाडिया
3. अमरसिंह का बाडिया
4. पीथामगना का बाडिया
5. चौडसिया",,,
39,delimitation_2014.pdf,3,18,झाक,"1. झाक
2. रावला बाडिया
3. नाडी
4. बानोला",झाक,"1. झाक
2. रावला बाडिया",,,
40,delimitation_2014.pdf,3,19,-,-,नाडी,"1. नाडी
2. बानोला",,,
41,delimitation_2014.pdf,4,,,,,,,,
42,delimitation_2014.pdf,4,"क .
स .",वर्तमान ग्रा ० प ० का नाम,| वर्तमान ग्रा ० प ० में सम्मिलित ग्रामों का नाम,| पुनर्गठित / पुनर्सीमांकित / नवसृजित ग्रा ० प ० का नाम,"पुनर्गठित / पुनर्सीमांकित /
नवसृजित ग्रा ० प ० में सम्मिलित
ग्रामों का नाम",,,
43,delimitation_2014.pdf,4,1,2,3,4,5,,,
44,delimitation_2014.pdf,4,1,अण्टाली,1. अण्टाली,अण्टाली,1. अण्टाली,,,
45,delimitation_2014.pdf,4,,,2. रूपपुरा,,2. रूपपुरा,,,
46,delimitation_2014.pdf,4,,,3. बारणी,,3. बारणी,,,
47,delimitation_2014.pdf,4,,,4. गुलाबपुरा,,4. गुलाबपुरा,,,
48,delimitation_2014.pdf,4,,,,,5. प्रतापपुरा,,,
49,delimitation_2014.pdf,4,,,,,,,,
50,delimitation_2014.pdf,4,"क .
स .","वर्तमान
ग्रा ० प ०
का नाम","वर्तमान ग्रा ० प ० में सम्मिलित
ग्रामों का नाम",पुनर्गठित / पुनर्सीमांकित ' नवसृजित ग्रा ० प ० का नाम,"पुनर्गठित / पुनर्सीमांकित / नवसृजित ग्रा ० प ० में सम्मिलित
ग्रामों का नाम",,,
51,delimitation_2014.pdf,4,1,2,3,4,5,,,
52,delimitation_2014.pdf,4,1,गोविन्दगढ,"1. गोविन्दगढ
2. जसवंतपुरा 3. अखेपुरा
4.समरथपुरा",गोविन्दगढ,1. गोविन्दगढ,,,
53,delimitation_2014.pdf,4,2,,,जसवंतपुरा,"1. जसवंतपुरा
2. अखेपुरा
3. समरथपुरा",,,
54,delimitation_2014.pdf,4,3,देवनगर,"1. देवनगर
2. बांसेली
3. कानस
4. नेडलिया
5. लीलासेवडी",देवनगर,"1. देवनगर
2. बांसेली",,,
55,delimitation_2014.pdf,4,4,,,कानस,"1. कानस
2. नेडलिया
3. लीलासेवडी",,,
56,delimitation_2014.pdf,4,5,झडवासा,"1. झडवासा
2. निजामपुरा
3. मोतीपुरा
4. रसूलपुरा
5. धोलादांता",झडवासा,"1. झडवासा
2. निजामपुरा
3. मोतीपुरा
4. रसूलपुरा",,,
57,delimitation_2014.pdf,4,6,न्यारा,"1. न्यारा
2. भगवानपुरा
3. रामपुरा न्यारा
4. काबरी चाट
5. भैरूखेडा
6. बखतावरपुरा
7. झबरकिया
8. अमरपुरा",न्यारा,"1. न्यारा
2. भगवानपुरा
3. रामपुरा न्यारा
4. काबरी चाट
5. भैरूखेडा
6. बखतावरपुरा
7. झबरकिया
8. अमरपुरा
9 धोलादांता",,,
58,delimitation_2014.pdf,5,"क .
स .","वर्तमान ग्रा.प.
का नाम","वर्तमान ग्रा ० प ० में सम्मिलित
ग्रामों का नाम",पुनर्गठित / पुनर्सीमांकित / नवसृजित ग्रा ० प ० का नाम,"पुनर्गठित / पुनर्सीमांकित / नवसृजित ग्रा ० प ० में सम्मिलित
ग्रामों का नाम",,,
59,delimitation_2014.pdf,5,1,2,3,4,5,,,
60,delimitation_2014.pdf,5,1,राजमहल,"1. राजमहल
2. रावतामाताजी",राजमहल,"1. राजमहल
2. रावतामाताजी",,,
61,delimitation_2014.pdf,5,क . स .,"वर्तमान ग्रा ० प ० का
नाम","वर्तमान ग्रा ० प ० में
सम्मिलित ग्रामों का नाम","पुनर्गठित / पुनर्सीमांकित
/ नवसृजित ग्रा ० प ० का
नाम","पुनर्गठित / पुनर्सीमांकित / नवसृजित ग्रा ० प ० में सम्मिलित
ग्रामों का नाम",,,
62,delimitation_2014.pdf,5,1,2,3,4,5,,,
63,delimitation_2014.pdf,5,1,खेजडी,"1. खेजडी
2. नाहरगढ
3. भीमलत
4. गरवर
5. मुरायला
6. खेडी
7. प्रतापपुरा",खेजडी,"1. खेजड़ी
2. नाहरगढ
3. भीमलत
4. गरवर
5. मुरायला
6. खेडी",,,
64,delimitation_2014.pdf,5,,,,,,,,
65,delimitation_2014.pdf,5,,,पंचायत,समिति - शाहपुरा,,,,
66,delimitation_2014.pdf,5,क . सं,"वर्तमान ग्रा ० प ० का
नाम","वर्तमान ग्रा ० प ० में
सम्मिलित ग्रामों का नाम","पुनर्गठित / पुनर्सीमांकित /
नवसृजित ग्रा ० प ० का नाम","पुनर्गठित / पुनर्सीमांकित /
नवसृजित ग्रा ० प ० में सम्मिलित
ग्रामों का नाम",,,
67,delimitation_2014.pdf,5,1,2,3,4,5,,,
68,delimitation_2014.pdf,5,1,माताजी का खेड़ा,"1. माताजी का खेडा
2. बालापुरा
3. अमरपुरा
4. लक्ष्मीपुरा
5. संतोषपुरा
6. टोंपा",माताजी का खेडा,"1. माताजी का खेड़ा
2. बालापुरा
3. अमरपुरा
4. लक्ष्मीपुरा
5. संतोषपुरा
6. टोंपा
7. हजारी कुंआ ( शाहपुरा ग्रामीण )",,,
69,delimitation_2014.pdf,5,,,,,,,,
70,delimitation_2014.pdf,5,,,पंचायत,- जहाजपुर,,,,
71,delimitation_2014.pdf,5,"क .
स .",वर्तमान ग्रा ० प ० का नाम,"वर्तमान ग्रा ० प ० में
सम्मिलित ग्रामों का नाम","पुनर्गठित / पुनर्सीमांकित /
नवसृजित ग्रा ० प ० का नाम","पुनर्गठित / पुनर्सीमांकित / नवसृजित ग्रा ० प ० में सम्मिलित
ग्रामों का नाम",,,
72,delimitation_2014.pdf,5,1,2,4,6,8,,,
73,delimitation_2014.pdf,5,1,ऊंचा,"1. ऊंचा
2. कुचलवाड़ा कलां
3. मोरला
4. खेमा का खेडा
5. हनुमान नगर
6. अम्बेडकर कॉलोनी",ऊंचा,"1. ऊंचा
2. मोरला
3. खेमा का खेडा
4. अम्बेडकर कॉलोनी",,,
74,delimitation_2014.pdf,5,2,-,-,कुचलवाड़ा कलां,"1. कुचलवाड़ा कलां
2. हनुमान नगर",,,
75,delimitation_2014.pdf,6,,,,,,,,
76,delimitation_2014.pdf,6,"क .
स .","वर्तमान ग्रा ० प ०
का नाम","वर्तमान ग्रा ० प ० में सम्मिलित
ग्रामों का नाम",पुनर्गठित / पुनर्सीमांकित / नवसृजित ग्रा ० प ० का नाम,"पुनर्गठित / पुनर्सीमांकित / नवसृजित ग्रा ० प ० में सम्मिलित
ग्रामों का नाम",,,
77,delimitation_2014.pdf,6,1,2,3,4,5,,,
78,delimitation_2014.pdf,6,1,ताखोली,"1. ताखोली
2. रघुनाथपुरा
3. सरदारपुरा",ताखोली,"1. ताखोली
2. रघुनाथपुरा
3. सरदारपुरा",,,
79,delimitation_2014.pdf,6,,,"2. रतनपुरा
3. मानसिंहपुरा गै . आ .
4. सुजानपुरा गै.आ.
5. साकरवाडा",,"2. मानसिंहपुरा गै . आ .
3. सुजानपुरा गै . आ .
4. साकरवाडा",,,
80,delimitation_2014.pdf,6,,,,,,,,
81,delimitation_2014.pdf,6,,,पंचायत,समिति - उनियारा,,,,
82,delimitation_2014.pdf,6,"क .
स .","वर्तमान ग्रा ० प ०
का नाम","वर्तमान ग्रा ० प ० में सम्मिलित
ग्रामों का नाम","पुनर्गठित / पुनर्सीमांकित /
नवसृजित ग्रा ० प ० का नाम","पुनर्गठित / पुनर्सीमांकित /
नवसृजित ग्रा ० प ० में सम्मिलित
ग्रामों का नाम",,,
83,delimitation_2014.pdf,6,1,2,3,4,5,,,
84,delimitation_2014.pdf,6,1,खातोली,"1. खातोली
2. गांगली
3. दोबडिया
4. पागडा
5. उनियारी
6. नाहरा
7. पागडी ( छोटीबडी )
8. मोरझालान की झोंपडिया
9. गोडो की झोपडिया
10. पागडी गै 0 आ 0",खातोली,"1. खातोली
2. गांगली
3. दोबडिया
4. पागडा
5. पागडी ( छोटीबडी )
6. मोरझालान की झोंपडिया
7. गोडो की झोपडिया
8. पागडी गै 0 आ 0
9. गाडोली
10. अल्लापुरा",,,
85,delimitation_2014.pdf,6,2,पलाई,"1. पलाई
2. चतरपुरा
3. महाराजपुरा 4. श्योपुरा
5. हुकमपुरा",पलाई,"1. पलाई
2. चतरपुरा
3. महाराजपुरा
4. श्योपुरा
5. हुकमपुरा
6. उनियारी
7. नाहरा",,,
86,delimitation_2014.pdf,6,3,मोहम्मदगढ,"1. मोहम्मदगढ
2. याकुबपुरा
3. चकयाकूबपुरा
4. ज्ञानपुरा
5. तुम्बीपुरा
6. बिशनपुरा
7. रघुनाथपुरा कला
8. रघुनाथपुरा खुर्द
9. विजयगढ",मोहम्मदगढ,"1. मोहम्मदगढ
2. चकयाकूबपुरा
3. ज्ञानपुरा
4. तुम्बीपुरा
5. बिशनपुरा
6. रघुनाथपुरा कंला
7. रघुनाथपुरा खुर्द
8. विजयगढ",,,
87,delimitation_2014.pdf,6,4,गोठडा,"1. गोठडा
2. कल्याणपुरा
3. खातोला
4. जयनगर
5. खेडा
6. देवपुराखुर्द 7. श्योदासपुरा
8. श्योराजपुरा",गोठडा,"1. गोठडा
2. कल्याणपुरा
3. खातोला
4. जयनगर
5. खेडा
6. देवपुराखुर्द
7. श्योदासपुरा 8. श्योराजपुरा
9. याकूबपुरा",,,
88,delimitation_2014.pdf,6,5 LO,पाटोली,"1. पाटोली
2. अलीनगर
3. गाडोली
4. अल्लापुरा
5. नाहरी",पाटोली,"1. पाटोली
2. अलीनगर
3. नाहरी",,,
89,delimitation_2014.pdf,6,,,"3. सतवाडा
4. देवीखेडा
5. लाखोलाई
6. कुशालपुरा
7. नयागांव",,"3. सतवाडा
4. देवीखेडा
5. लाखोलाई
6. कुशालपुरा
7. नयागांव
8. बीसलपुर",,,
90,delimitation_2014.pdf,6,2,बीसलपुर,1. बीसलपुर,बीसलपुर मुख्यालय रतनपुरा,1. रतनपुरा,,,
91,delimitation_2014.pdf,7,"क्र ०
सं ०","वर्तमान ग्राम
पंचायत का नाम","वर्तमान ग्राम पंचायत में
सम्मिलित ग्रामों के नाम","पुनर्गठित / पुनर्सीमांकित /
नवसृजित ग्रा ० प o का नाम","पुनर्गठित / पुनर्सीमांकित / नवसृजित ग्रा ० प 0 में सम्मिलित
ग्रामों के नाम",,,
92,delimitation_2014.pdf,7,1,2,3,4,5,,,
93,delimitation_2014.pdf,7,1,आवडा,"1. आवडा
2. तुन्देडा
3. डोरिया
4. सीतापुरा
5. चकनगर
6. माधोगढ",आवडा,"1. आवडा
2. तुन्देडा
3. डोरिया
4. चकनगर",,,
94,delimitation_2014.pdf,7,2,नगर,"1. नगर
2. कुम्हारिया",नगर,"1. नगर
2. कुम्हारिया 3. सीतापुरा
4. माधोगढ",,,
95,delimitation_2014.pdf,7,,,"4. अल्लापुरा चण्डला
5. चकसरदारपुरा
6. निरबाना
7. मीरगंजशेरपुर
8. लक्ष्मीपुरा
9. वजीरपुराखुर्द 10. वजीरपुरा कंला",,"4.अल्लापुरा चण्डला
5. चकसरदारपुरा
6. निरबाना
7. लक्ष्मीपुरा 8. वजीरपुराखुर्द
9. वजीरपुराकंला",,,
96,delimitation_2014.pdf,7,2,सांखना,"1. सांखना
2. राजनगर
3. मीरनगर
4. फारूक नगर
5. देवपुरा
6. सोलतपुरा
7. भंवरखो
8. नासीरपुरा
9. सहादताबाद",सांखना,"1. सांखना
2. राजनगर
3. मीरनगर
4. फारूक नगर
5. देवपुरा
6. सोलतपुरा
7. भंवरखो
8. नासीरपुरा
9. सहादताबाद
10. मीरगंजशेरपुर",,,
97,delimitation_2014.pdf,7,3,बनवाडा,"1. अनवरपुरा उर्फ हमीरिया
2. हरीपुरा
3. इलाहीपुरा उर्फ हाजीपुरा
4. बनवाडा
5. जयकिशनपुरा",बनवाडा,"1. अनवरपुरा उर्फ हमीरिया
2. इलाहीपुरा उर्फ हाजीपुरा
3. बनवाडा
4. जयकिशनपुरा",,,
98,delimitation_2014.pdf,7,4,सन्देडा,"1. कल्याणपुरा
2. अहमदगंज
3. सन्देडा
4. चक मियारामपुरा",सन्देडा,"1. कल्याणपुरा
2. अहमदगंज
3. सन्देडा
4. चक मियारामपुरा
5. हरीपुरा",,,
99,delimitation_2014.pdf,8,"क .
स .",वर्तमान ग्रा ० प ० का नाम,वर्तमान ग्रा ० प ० में सम्मिलित ग्रामों का नाम,"पुनर्गठित / पुनर्सीमांकित /
नवसृजित ग्रा ० प ० का नाम","पुनर्गठित / पुनर्सीमांकित / नवसृजित ग्रा ० प ० में
सम्मिलित ग्रामों का नाम",,,
100,delimitation_2014.pdf,8,1,2,3,4,5,,,
101,delimitation_2014.pdf,8,1,बालिया,"1. बालिया
2. रामसाबास
3. लाडाबास
4. जानकीपुरा",बालिया,"1. बालिया
2. जानकीपुरा
3. रायसिंहपुरा",,,
102,delimitation_2014.pdf,8,2,बरांगना,"1. बरांगना
2. जेवलियाबास
3. खातियाबासनी",बरांगना,"1. बरांगना
2. जेवलियाबास
3. खुडीनिम्बी",,,
103,delimitation_2014.pdf,8,3,कोलिया,"1. कोलिया
2. नोजलों की ढाणी
3. बाण्डोलाई की ढाणी",कोलिया,1. कोलिया,,,
104,delimitation_2014.pdf,8,4,दादुबासनी,"4. अमरपुरा
5. मण्डाबासनी
1. दादुबासनी
2. भवादीया
3. गरदेजाबासनी
6. रघुनाथपुरा",दादुबासनी,"1. दादुबासनी
2. भवादीया
3. गरदेजाबासनी
4. अमरपुरा",,,
105,delimitation_2014.pdf,8,LO,"सिंगरावट
कलां","1.सिंगरावटकंला
2. खुडीनिम्बी
3. प्यांवा
4. सिंगरावटखुर्द","सिंगरावट
कलां","1. सिंगरावटकंला
2. प्यांवा
3. सिंगरावटखुर्द",,,
106,delimitation_2014.pdf,8,6,खुनखुना,"1. खुनखुना
2. गोदरास",खुनखुना,1. खुनखुना,,,
107,delimitation_2014.pdf,8,7,निम्बीकंला,"1. निम्बीकंला
2. निम्बीखुर्द
3. डिकावा",निम्बीकंला,"1. निम्बीकंला
2. निम्बीखुर्द
3. डिकावा
4. विजयनगर",,,
108,delimitation_2014.pdf,8,8,खोजास,"1. खोजास
2. ढिंगारीया
3. डसाणाखुर्द",खोजास,"1. खोजास
2. ढिंगारीया
3. गांवडी
4. फगोडियों की ढाणी
5. भोपजीकाबास",,,
109,delimitation_2014.pdf,8,9,थेबडी,"1. थेबडी
2. गांवडी
3. आजडोली",थेबडी,"1. थेबडी
2. डसाणाखुर्द 3. आजडोली
4. लेगा की ढाणी
5. कुकणा की ढाणी",,,
110,delimitation_2014.pdf,8,10,तोषिणा,"1. तोषिणा
2. लेगा की ढाणी ,
3. भोपजी का बास
4. कुकणा की ढाणी
5. श्री रघुनाथपुरा 6. फगोडियों की ढाणी
7. मुन्दोलियों की ढाणी",तोषिणा,"1. तोषिणा
2. श्री रघुनाथपुरा 3. मुन्दोलियों की ढाणी",,,
111,delimitation_2014.pdf,8,11,-,,रामसाबास,"1. रामसाबास
2. लाडाबास
3. खातियाबासनी",,,
112,delimitation_2014.pdf,8,12,T,-,गोदरास,"1. गोदरास
2. रघुनाथपुरा
3. बाण्डोलाई की ढाणी
4. नोजलों की ढाणी
5. मण्डाबासनी",,,
113,delimitation_2014.pdf,8,13,दीनदारपुरा,"1. दीनदारपुरा
2. खारिया
3. बनवासा",दीनदारपुरा,"1. दीनदारपुरा
2. खारिया
3. बेमोठ",,,
114,delimitation_2014.pdf,8,14,बरडवा,"1. बरडवा
2. बेमोठ",बरडवा,"1. बरडवा
2. बनवासा
3. पायली",,,
115,delimitation_2014.pdf,9,"क्र ०
सं 0","वर्तमान ग्राम पंचायत
का नाम","वर्तमान ग्राम पंचायत में
सम्मिलित ग्रामों के नाम",पुनर्गठित / पुनर्सीमांकित / नवसृजित ग्रा ० प 0 का नाम,"पुनर्गठित / पुनर्सीमांकित / नवसृजित ग्रा ० प 0 में सम्मिलित
ग्रामों के नाम",,,
116,delimitation_2014.pdf,9,1,2,3,4,5,,,
117,delimitation_2014.pdf,9,1,बडगांव,"1. बीटन
2. पीथास
3. रामलियावास
4. लूणियास 5. बासनी कच्छावा
6. बडगांव",बडगांव,"1. बडगांव
2. लुणियास
3. बासनी कच्छावा",,,
118,delimitation_2014.pdf,9,2,गगराना,"2. बायड
3. चौहान नगर
1. गगराना",गगराना,"1. गगराना
2. बायड",,,
119,delimitation_2014.pdf,9,3,-,,बीटन,"1. बीटन
2. चौहान नगर
3. पीथास
4. रामलियास",,,
120,delimitation_2014.pdf,9,,,,,,,,
121,delimitation_2014.pdf,9,,,,,,,,
122,delimitation_2014.pdf,9,,,पंचायत समिति,परबतसर,,,,
123,delimitation_2014.pdf,9,"क्र ०
सं ०","वर्तमान ग्राम पंचायत
का नाम","वर्तमान ग्राम पंचायत में
सम्मिलित ग्रामों के नाम","पुनर्गठित / पुनर्सीमांकित /
नवसृजित ग्रा . प . का नाम",पुनर्गठित / पुनर्सीमांकित / नवसृजित ग्रा ० प 0 में सम्मिलित ग्रामों के नाम,,,
124,delimitation_2014.pdf,9,1,2,3,4,5,,,
125,delimitation_2014.pdf,9,1,रूणीजा,"1. रूणीजा
2. गिंगोली
3. श्यामपुरा
4. डारापुरा",रूणीजा,"1. रूणीजा
2. श्यामपुरा
3. डारापुरा
4. धोंकलिया
5. चारणावास",,,
126,delimitation_2014.pdf,9,2,खोखर,"1. खोखर
2. देवली खुर्द
3. अडाणी
4. धोंकलिया
5. चारणावास",खोखर,"1. खोखर
2. अडाणी
3. देवली खुर्द
4. किशोरपुरा",,,
127,delimitation_2014.pdf,9,3,बिदियाद,"1. बिदियाद
2. किशोरपुरा
3. देवगढ",बिदियाद,"1. बिदियाद
2. देवगढ",,,
