,original_filename,page,col1,col2,col3,col4,col5,col6,col7,col8
0,delimitation_2014.pdf,0,,,,prich,,,,
1,delimitation_2014.pdf,0,"क .
स .","वर्तमान ग्रा ० प ०
का नाम","वर्तमान ग्रा ० प ० में सम्मिलित
ग्रामों का नाम","पुनर्गठित / पुनर्सीमांकित
/ नवसृजित ग्रा ० प ० का नाम","पुनर्गठित / पुनर्सीमांकित / नवसृजित ग्रा ० प ० में सम्मिलित
ग्रामों का नाम",,,
2,delimitation_2014.pdf,0,1,2,3,4,5,,,
3,delimitation_2014.pdf,0,1,बघेरा,"1. बघेरा
2. काबरिया
3. नयागांव",बघेरा,"1. बघेरा
2 नयागांव",,,
4,delimitation_2014.pdf,0,2,कणोज,"1. कणोज
2. देवलियाखुर्द",कणोज,"1. कणोज
2. देवलियाखुर्द
3. काबरिया",,,
5,delimitation_2014.pdf,0,"क .
स .","वर्तमान ग्रा ० प ०
का नाम","वर्तमान ग्रा ० प ० में
सम्मिलित ग्रामों का नाम","पुनर्गठित / पुनर्सीमांकित /
नवसृजित ग्रा ० प ० का नाम","पुनर्गठित / पुनर्सीमांकित
/ नवसृजित ग्रा ० प ० में सम्मिलित ग्रामों का नाम",,,
6,delimitation_2014.pdf,0,1,2,3,4,5,,,
7,delimitation_2014.pdf,0,1,बुहारू,"3. रामपुरा
1. बुहारू
2. कांकनियावास",बुहारू,"1. बुहारू
2. रामपुरा",,,
8,delimitation_2014.pdf,0,2,नलू,"1. नलू
2. मुण्डोती
3. नोहरिया",नलू,"1. नलू
2. मुण्डोती
3. नोहरिया
4. कांकनियावास",,,
9,delimitation_2014.pdf,0,,,,,,,,
10,delimitation_2014.pdf,0,"क .
स .","वर्तमान ग्रा ० प ०
का नाम","वर्तमान ग्रा ० प ० में
सम्मिलित ग्रामों का नाम","पुनर्गठित / पुनर्सीमांकित /
नवसृजित ग्रा.प. नाम",पुनर्गठित / पुनर्सीमांकित / नवसृजित ग्रा ० प ० में सम्मिलित ग्रामों का नाम,,,
11,delimitation_2014.pdf,0,1,2,3,4,5,,,
12,delimitation_2014.pdf,0,1,भूडोल,"1. भूडोल
2. लाडपुरा 3. गुवारडी",भूडोल,"1. भूडोल
2. लाडपुरा",,,
13,delimitation_2014.pdf,0,2,रसूलपुरा,"1. रसूलपुरा
2. मदारपुरा",रसूलपुरा,"1. रसूलपुरा
2. मदारपुरा
3. गुवारडी",,,
14,delimitation_2014.pdf,1,,,,,,,,
15,delimitation_2014.pdf,1,"क .
स .","वर्तमान
ग्रा ० प ० का
नाम","वर्तमान ग्रा ० प ० में सम्मिलित
ग्रामों का नाम","पुनर्गठित / पुनर्सीमांकित /
नवसृजित ग्रा ० प ० का नाम","पुनर्गठित / पुनर्सीमांकित
/ नवसृजित ग्रा ० प ० में सम्मिलित ग्रामों का नाम",,,
16,delimitation_2014.pdf,1,1,2,3,4,5,,,
17,delimitation_2014.pdf,1,1,"नून्द्री
महेन्द्रातान","1. नून्द्री महेन्द्रातान
2. भीलातोंका बाडिया
3. सिरोला
4. रतनपुरा सरदारा
5. फतहपुरिया ग्रामीण
6. ठीकराना महेन्द्रतान
7. छापरों का बाडिया
8. डूंगरखेडा
9. शोभापुरा
10. मेडिया
11. रामपुरामे वातियान",नून्द्री महेन्द्रातान,"1. नून्द्री
महेन्द्रातान
2. भीलातों का बाडिया
3. सिरोला
4. रतनपुरा सरदारा
5. फतहपुरिया ग्रामीण",,,
18,delimitation_2014.pdf,1,2,-,,मेडिया,"1. छापरों का बाडिया
2. डूंगरखेडा
3. शोभापुरा 4. मेडिया
5. रामपुरा मेवातियान",,,
19,delimitation_2014.pdf,1,3,"जालिया
प्रथम","1. जालिया प्रथम
2. बाडिया श्यामा
3. बाडिया जग्गा
4. रामसर बलाईयान
5. मालीपुरा
6. सोवनिया
7. खेजडला
8. बनेवडी",जालिया ( प्रथम ),"1. जालिया ( प्रथम )
2. बाडिया श्यामा
3. बाडिया जग्गा
4. रामसर बलाईयान
5. मालीपुरा
6. सोवनिया
7. खेजडला
8. बनेवडी
9. ठीकराना महेन्द्रतान",,,
20,delimitation_2014.pdf,2,"क .
स .","वर्तमान
ग्रा ० प ० का
नाम","वर्तमान ग्रा ० प ० में सम्मिलित
ग्रामों का नाम",पुनर्गठित / पुनर्सीमांकित ग्रा ० प ० का नाम ' नवसृजित,"पुनर्गठित / पुनर्सीमांकित
/ नवसृजित ग्रा ० प ० में
सम्मिलित ग्रामों का नाम",,,
21,delimitation_2014.pdf,2,1,2,3,4,5,,,
22,delimitation_2014.pdf,2,1,किराप,"1. किराप
2. कालाहेडी
3.सालरमाला",किराप,"1. किराप
2. कालाहेडी
3. सालरमाला
4. श्यामपुरा",,,
23,delimitation_2014.pdf,2,2,मोयणा,"1. मोयणा
2. रतनगढ
3. भैरूखेडा
4. सारणियां
5. काशीपुरा
6. सबलपुरा
7. रामपुरा
8. मानपुरा
9. श्यामपुरा
10. गुढा",मोयणा,"1. मोयणा
2. रतनगढ
3. भैरूखेडा
4. सारणियां
5. काशीपुरा
6. सबलपुरा
7. रामपुरा
8. मानपुरा
9. गुढा",,,
24,delimitation_2014.pdf,2,3,मायला,"5. देवमगरी
6. मोहनपुरा
7. जैतपुरा
8. मोतीपुरा
1. मायला
2. नागली
3. नासून
4. केरिया",मायला,"1. मायला
2. नागली
3. नासून
4. देवमगरी
5. मोहनपुरा
6. जैतपुरा
7. मोतीपुरा",,,
25,delimitation_2014.pdf,2,4,सतावडिया,"1. सतावडिया
2. जालखेडा
3. नयागांव
4. चावण्डिया
5. सथालिया
6. गणेशमगरी",सतावडिया,"1. सतावडिया
2. जालखेडा
3. नयागांव
4. चावण्डिया
5. सथालिया
6. गणेशमगरी
7. केरिया",,,
26,delimitation_2014.pdf,2,5,नन्दवाडा,"1. नन्दवाडा
2. जसवन्तपुरा 3. शिवपुरी
4. इन्द्रपुरा
5. प्रतापपुरा ( प्रथम )
6. भालेसरिया
7. काकडनाडी ( गैआ )
8. देबीपुरा",नन्दवाडा,"1. नन्दवाडा
2. उत्तमी
3. शिवपुरी
4. इन्द्रपुरा
5. प्रतापपुरा ( प्रथम )
6. भालेसरिया
7. काकडनाडी ( गैआ )
8. देबीपुरा",,,
27,delimitation_2014.pdf,2,6,धोलादांता,"1. धोलादांता
2. चौडसिया
3. राघपुरा
4. कुमपुरा 5. सूना चौडसिया ( गैआ )",धोलादांता,"1. धोलादांता
2. राघपुरा
3. कुमपुरा
4. जसवन्तपुरा 5. भवानीखेडा",,,
28,delimitation_2014.pdf,2,7,"दौलतपुरा
( द्वितीय )","1. दौलतपुरा ( द्वितीय )
2 केसरपुरा
7. अमरपुरा
8. सूरजपुरा
9. रेनपुरा
3. कानपुरा
4. प्रतापपुरा ( द्वितीय )
5. टोपास
6. उत्तमी",दौलतपुरा ( द्वितीय ),"1. दौलतपुरा ( द्वितीय )
2. केसरपुरा
3. कानपुरा
4. प्रतापपुरा ( द्वितीय )
5. टोपास
6. अमरपुरा
7. सूरजपुरा
8. रेनपुरा",,,
29,delimitation_2014.pdf,2,8,हरराजपुरा,"1. हरराजपुरा
2. लाणदी
3. बस्सी
4. बचपडी
5. करवाई
6. चक मसूदा
7. भवानीखेडा",हरराजपुरा,"1. हरराजपुरा
2. लाणदी
3. बस्सी
4. बचपडी
5. करवाई
6. चक मसूदा",,,
