,original_filename,page,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
33,GP_Delimitation_2019_Final-1-400.pdf,4,20 .,अतीतमड,"1. अतीतमड
2. रामसर मौहल्ला
3. जैतपुरा
4. बलाईखेडा
5. शाहपुरा",अतीतमड,"1. अतीतमड
2. रामसर मौहल्ला
3. जैतपुरा",,,,,
34,GP_Delimitation_2019_Final-1-400.pdf,4,21 .,,,शाहपुरा,"1. शाहपुरा
2. रायताखेडा
3. बलाईखेडा",,,,,
35,GP_Delimitation_2019_Final-1-400.pdf,4,22 .,सरवीना,"1. सरवीना
2. जैतगढ़ बामनिया
3. सुरजपुरा
4. नाहरपुरा
5. करला
6. राजपुरा बोचान",सरवीना,"1. सरवीना
2. बाडिया नगा
3. सुरजपुरा
4. नाहरपुरा
5. करला
6. राजपुरा बोचान",,,,,
36,GP_Delimitation_2019_Final-1-400.pdf,4,23 .,सुरडिया,"1. सुरडिया
2. देवखेडा
3. सांगरवास
4. कालादडा
5. शिवनगरी",सुरडिया,"1. सुरडिया
2. जैतगढ़ बामनिया
3. सांगरवास
4. देवखेडा
5. शिवनगरी
6. कालादडा",,,,,
37,GP_Delimitation_2019_Final-1-400.pdf,4,24 .,नरबद,1. नरबद खेडा,नरबद खेडा,1. नरबद खेडा,,,,,
38,GP_Delimitation_2019_Final-1-400.pdf,5,,खेडा,"2. भोजपुरा
3. सिंघाडिया AWN 4. लाम्बा
5 . प्रतापपुरा
6. केसरपुरा
7. रामसर इन्दा",,"2. भोजपुरा
3. प्रतापपुरा
4. केसरपुरा
5. रामसर इन्दा
6 . लाम्बा
7. खेजडला",,,,,
39,GP_Delimitation_2019_Final-1-400.pdf,5,25 .,सुरजपुरा,"1. सुरजपुरा
2. बनारखेडा
3. बाडिया भाऊ
4. जालिया ।। वास रूपा
जालिया ।। वास 5 .
लाला
जालिया ।। वास दुर्गा 6 .
7. जालिया ।। वास
पिथा",सुरजपुरा,"सुरजपुरा
2. जालिया ।। वास
पिथा
3. बागलिया
4. जालिया ।। वास
रूपा
5. जालिया ।। वास
दुर्गा",,,,,
40,GP_Delimitation_2019_Final-1-400.pdf,5,26 .,,,बाडिया भाऊ,"1. बाडिया भाऊ
2. बिहार रतनपुरा
3. बनारखेडा
4. जालिया ।। वास
लाला",,,,,
41,GP_Delimitation_2019_Final-1-400.pdf,5,27 .,रावतमाल,"1. रावतमाल
2. लस्सानी- II
3. बागलिया
4. खेडादांती",रावतमाल,"1. रावतमाल
2. लस्सानी- II
3. खेडादांती",,,,,
42,GP_Delimitation_2019_Final-1-400.pdf,5,28 .,लोटियान,"1. लोटियाना
2. सोनियाना चौड़ा
3. बिहार रतनपुरा
4. सोनियाना",लोटियाना,"1. लोटियाना
2. सोनियाना चौड़ा
3. सोनियाना",,,,,
43,GP_Delimitation_2019_Final-1-400.pdf,5,29 .,किशनपुरा,"1. किशनपुरा
2. हिम्मतपुरा
3. भैसापा
4. गाजीपुरा
5. राजेन्द्रा
6. ठाकरवास
7. बाडिया लुम्बा
8. बस्सी
9. कालीकांकर",किशनपुरा,"1. किशनपुरा
2. हिम्मतपुरा
3. भैसापा
4. गाजीपुरा
5. राजेन्द्रा
6. ठाकरवास
7. बाडिया लुम्बा
8. बस्सी
9. रोहिडा खेडा",,,,,
44,GP_Delimitation_2019_Final-1-400.pdf,6,,,"10. अमरपुरा
11. खेडादण्ड
12. रोहिडा खेडा
13. बूटी सालर",,10. बूटी सालर,,,,,
45,GP_Delimitation_2019_Final-1-400.pdf,6,30 .,,,भैरूखेडा,"1. कालीकांकर
2. अमरपुरा
3. खेडादण्ड
4. लालपुराधनार
5. धोलादाता |
6. भैरूखेडा",,,,,
46,GP_Delimitation_2019_Final-1-400.pdf,6,31.,देवाता,"1. देवाता
2. हिरा का बाडिया
3. भांबीपूरा
4. कलात खेडा
5. किशनपुरा
6. कानपुरा
7. बाडिया नगा
8. अनाकर
9. मालपुरा
10. जगपुरा
11. हथानखेडा",देवाता,"1. देवाता
2. हिरा का बाडिया
3 . भांबीपूरा
4. कलात खेडा
5. किशनपुरा
6. अनाकर
7. मालपुरा
8. जगपुरा
9. हथानखेडा
10. कानपुरा",,,,,
47,GP_Delimitation_2019_Final-1-400.pdf,6,32 .,बराखन,"1. बराखन
2. नेगलिया
3. गोगेला
4. धोलादाता
5. रोडियाना
6. बुजारेल
7. मेडिया
8. धर्मा की तलाई",बराखन,"1. बराखन
2. धोलादाता
3. बुजारेल
4. मेडिया
5. धर्मा की तलाई
6. नेगलिया
7. रोडियाना",,,,,
48,GP_Delimitation_2019_Final-1-400.pdf,6,33.,आसन,"1. आसन
2. बाघमाल
3. देवलाता
4. गणेशपुरा
5. सातुखेडा
6. सरुपा
7. राणाता
भगवानपुरा",आसन,"1. आसन
2. बाघमाल
3. देवलाता
4. सरुपा
5. राणाता
भगवानपुरा
6. कडीयापा
7. सरुपा",,,,,
49,GP_Delimitation_2019_Final-1-400.pdf,7,,,"8. कडीयापा
9. सरुपा अलजीरिया",,अलजीरिया,,,,,
50,GP_Delimitation_2019_Final-1-400.pdf,7,34 .,,,सातुखेडा,"1. सातुखेडा
2. गणेशपुरा
3. गोगेला",,,,,
51,GP_Delimitation_2019_Final-1-400.pdf,7,,,पंचायत,समिति - मसूदा,,,,,,
